path,type,key_guess,energy,brightness
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Cowbell 3.wav,Other,A,0.1903,0.2457
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 8.wav,Perc,Am,0.1732,0.089
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 1.wav,Perc,Cm,0.12,0.1096
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Rim Shot 1.wav,Snare,A#,0.0854,0.3751
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 6.wav,Perc,C#m,0.0777,0.9537
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 2.wav,Perc,G#,0.1705,0.6473
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Clave 1.wav,Other,D#m,0.0485,0.3708
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Rim Shot 2.wav,Snare,Fm,0.2252,0.3634
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_002_110_Am.wav,Pad,Cm,0.3773,0.1336
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_011_110_Am.wav,Pad,Em,0.4679,0.1322
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_005_110_Am.wav,Pad,Am,0.5479,0.0808
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_001_110_Am.wav,Pad,Cm,0.4609,0.0932
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_013_110_Am.wav,Pad,A,0.6427,0.253
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_016_110_Am.wav,Pad,Am,0.2943,0.0865
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_006_110_Am.wav,Pad,C,0.5064,0.2558
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_015_110_Am.wav,Pad,A,0.5073,0.2985
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_007_110_Am.wav,Pad,Am,0.5721,0.1502
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_004_110_Am.wav,Pad,A,0.6464,0.1434
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_003_110_Am.wav,Pad,A,0.2464,0.2554
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_009_110_Am.wav,Pad,Em,0.6454,0.1511
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_012_110_Am.wav,Pad,A#,0.1632,0.2152
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_008_110_Am.wav,Pad,Am,0.6225,0.1421
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_014_110_Am.wav,Pad,C,0.7738,0.0832
/content/drive/MyDrive/techno dataset/Berlin underground/Pad loop/Padloop_010_110_Am.wav,Pad,Am,0.2314,0.3944
/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 8.wav,FX,Gm,0.0757,0.18
/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 5.wav,FX,C,0.3265,0.1622
/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 2.wav,FX,Am,0.2384,1.0321
/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 7.wav,FX,Dm,0.6832,0.0629
/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 6.wav,FX,A#m,0.1241,0.3515
/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 3.wav,FX,G,0.1466,0.4493
/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 4.wav,FX,Cm,0.4018,0.623
/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 1.wav,FX,G#m,0.0531,0.1172
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_005_110_Am.wav,Bass,A,0.5851,0.0839
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_004_110_Am.wav,Bass,Am,0.6766,0.0642
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_016_110_Am.wav,Bass,Am,0.6364,0.2806
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_014_110_Am.wav,Bass,A#,0.7477,0.1219
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_006_110_Am.wav,Bass,A,0.7121,0.0606
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_010_110_Am.wav,Bass,A,0.7783,0.2041
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_009_110_Am.wav,Bass,Am,0.7317,0.045
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_008_110_Am.wav,Bass,A,0.702,0.0629
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_013_110_Am.wav,Bass,Am,0.6629,0.0571
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_002_110_Am.wav,Bass,C,0.7296,0.1138
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_008V2_110_Am.wav,Bass,Am,0.8376,0.1168
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_007_110_Am.wav,Bass,Am,0.722,0.1274
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_015_110_Am.wav,Bass,Am,0.4243,0.0692
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_011_110_Am.wav,Bass,A#,0.8201,0.1364
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_003_110_Am.wav,Bass,Am,0.86,0.102
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_012_110_Am.wav,Bass,Am,0.7868,0.1345
/content/drive/MyDrive/techno dataset/Berlin underground/bass loop/ Bassloop_001_110_Am.wav,Bass,A,0.7635,0.2116
/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Closed Hat 1.wav,Perc,C#m,0.1598,0.8049
/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Closed Hat 2.wav,Perc,C#m,0.0782,0.5195
/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Open Hat 2.wav,Perc,C,0.2181,0.6887
/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Open Hat 3.wav,Perc,Dm,0.2464,0.7443
/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Closed Hat 4.wav,Perc,D#,0.389,0.495
/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Open Hat 1.wav,Perc,G,0.2446,0.4794
/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Closed Hat 5.wav,Perc,C#m,0.1744,0.6305
/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Closed Hat 3.wav,Perc,C#,0.2133,0.9236
/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Open Hat 4.wav,Perc,G,0.1091,0.421
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_014_FULL_110.wav,Kick,Am,0.4394,0.4674
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_001_PERCUSSION_110.wav,Kick,Dm,0.1032,0.1215
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_012_NOKICK_110.wav,Kick,A#m,0.1954,0.5785
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_016_TOP_110.wav,Kick,G,0.3034,0.3786
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_012_STRIPPED_110.wav,Kick,A,0.3488,0.2652
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_020_NOKICK_110.wav,Kick,D#m,0.3403,0.369
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_022_STRIPPED_110.wav,Kick,G#m,0.5216,0.2144
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_010_TOP_110.wav,Kick,C#m,0.4328,0.7305
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_003_STRIPPED_110.wav,Kick,Am,0.3391,0.3066
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_020_FULL_110.wav,Kick,F#,0.5,0.2968
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_002_FULL_110.wav,Kick,G#m,0.5043,0.331
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_021_NOKICK_110.wav,Kick,G#,0.351,0.5482
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_011_STRIPPED_110.wav,Kick,G#m,0.4086,0.1367
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_015_NOKICK_110.wav,Kick,Am,0.2482,0.538
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_015_TOP_110.wav,Kick,Am,0.2058,0.5828
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_009_NOKICK_110.wav,Kick,Am,0.2637,0.5768
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_017_TOP_110.wav,Kick,Fm,0.3266,0.7954
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_011_FULL_110.wav,Kick,G#m,0.4695,0.1998
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_015_STRIPPED_110.wav,Kick,G#m,0.4062,0.1524
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_020_PERCUSSION_110.wav,Kick,D#m,0.2549,0.1214
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_022_PERCUSSION_110.wav,Kick,C,0.1494,0.3224
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_012_FULL_110.wav,Kick,A,0.3897,0.4653
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_004_NOKICK_110.wav,Kick,Bm,0.3934,0.6664
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_002_TOP_110.wav,Kick,G#,0.2701,0.4593
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_010_FULL_110.wav,Kick,G#m,0.3833,0.5243
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_013_STRIPPED_110.wav,Kick,Gm,0.2715,0.2194
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_001_STRIPPED_110.wav,Kick,Am,0.2713,0.2352
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_016_STRIPPED_110.wav,Kick,A#m,0.3743,0.2451
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_008_NOKICK_110.wav,Kick,G#m,0.2865,0.5892
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_001_FULL_110.wav,Kick,Am,0.3801,0.4316
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_014_TOP_110.wav,Kick,B,0.225,0.6806
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_013_FULL_110.wav,Kick,Gm,0.3891,0.5055
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_003_TOP_110.wav,Kick,G,0.4477,0.3822
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_005_FULL_110.wav,Kick,G#m,0.5382,0.3538
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_006_STRIPPED_110.wav,Kick,G#m,0.2963,0.2159
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_019_PERCUSSION_110.wav,Kick,D#,0.1097,0.179
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_019_FULL_110.wav,Kick,G#m,0.5837,0.3291
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_008_PERCUSSION_110.wav,Kick,Em,0.2397,0.2182
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_010_PERCUSSION_110.wav,Kick,C#m,0.1523,0.2209
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_022_TOP_110.wav,Kick,Fm,0.2816,0.6627
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_006_FULL_110.wav,Kick,G#m,0.4126,0.3668
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_017_STRIPPED_110.wav,Kick,F#m,0.4655,0.2528
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_021_PERCUSSION_110.wav,Kick,G#,0.129,0.2302
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_009_FULL_110.wav,Kick,G#m,0.3992,0.4372
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_011_NOKICK_110.wav,Kick,B,0.2105,0.3018
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_004_TOP_110.wav,Kick,Bm,0.3764,0.6982
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_013_PERCUSSION_110.wav,Kick,Cm,0.1069,0.2369
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_001_NOKICK_110.wav,Kick,A,0.2703,0.5436
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_021_FULL_110.wav,Kick,Am,0.4803,0.3841
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_009_TOP_110.wav,Kick,Bm,0.1946,0.6075
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_016_NOKICK_110.wav,Kick,Gm,0.2248,0.3847
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_016_FULL_110.wav,Kick,A#m,0.4276,0.3184
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_007_PERCUSSION_110.wav,Kick,Gm,0.2881,0.2811
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_018_FULL_110.wav,Kick,Gm,0.387,0.5011
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_022_FULL_110.wav,Kick,Am,0.5364,0.454
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_018_NOKICK_110.wav,Kick,A#m,0.2988,0.5964
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_014_NOKICK_110.wav,Kick,Dm,0.2994,0.5928
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_018_STRIPPED_110.wav,Kick,Gm,0.3462,0.495
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_011_PERCUSSION_110.wav,Kick,D#m,0.1093,0.2382
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_002_NOKICK_110.wav,Kick,G#,0.3456,0.4396
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_003_FULL_110.wav,Kick,Am,0.4318,0.3451
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_021_TOP_110.wav,Kick,G#m,0.2859,0.5742
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_018_TOP_110.wav,Kick,D#m,0.2045,0.5587
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_007_STRIPPED_110.wav,Kick,G#,0.3496,0.1058
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_020_TOP_110.wav,Kick,D#m,0.2856,0.3401
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_010_NOKICK_110.wav,Kick,D,0.3453,0.6289
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_003_NOKICK_110.wav,Kick,G,0.4427,0.4073
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_015_FULL_110.wav,Kick,Gm,0.4387,0.3856
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_017_PERCUSSION_110.wav,Kick,F#,0.0791,0.3727
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_019_STRIPPED_110.wav,Kick,Am,0.5559,0.1426
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_002_PERCUSSION_110.wav,Kick,G#,0.2018,0.2049
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_017_FULL_110.wav,Kick,Gm,0.5133,0.5622
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_006_TOP_110.wav,Kick,A#m,0.246,0.415
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_008_FULL_110.wav,Kick,Gm,0.4618,0.4354
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_016_PERCUSSION_110.wav,Kick,G,0.2441,0.2138
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_009_PERCUSSION_110.wav,Kick,Cm,0.1135,0.3662
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_005_TOP_110.wav,Kick,G#m,0.2744,0.5478
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_012_PERCUSSION_110.wav,Kick,B,0.1954,0.3388
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_007_TOP_110.wav,Kick,G#m,0.4028,0.5861
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_008_STRIPPED_110.wav,Kick,Gm,0.4026,0.1535
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_008_TOP_110.wav,Kick,Em,0.3088,0.6301
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_006_PERCUSSION_110.wav,Kick,A#m,0.2209,0.255
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_003_PERCUSSION_110.wav,Kick,G,0.3264,0.1847
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_001_TOP_110.wav,Kick,D,0.2213,0.5532
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_021_STRIPPED_110.wav,Kick,Am,0.4138,0.2163
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_005_STRIPPED_110.wav,Kick,G#m,0.5086,0.1555
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_004_PERCUSSION_110.wav,Kick,Cm,0.082,0.2272
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_004_STRIPPED_110.wav,Kick,Dm,0.5293,0.1044
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_005_PERCUSSION_110.wav,Kick,G#m,0.1492,0.274
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_007_NOKICK_110.wav,Kick,Gm,0.3483,0.56
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_005_NOKICK_110.wav,Kick,G#m,0.3094,0.5362
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_018_PERCUSSION_110.wav,Kick,D#m,0.117,0.0938
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_009_STRIPPED_110.wav,Kick,G#m,0.321,0.2082
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_006_NOKICK_110.wav,Kick,B,0.2958,0.4611
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_015_PERCUSSION_110.wav,Kick,Am,0.1387,0.5352
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_019_TOP_110.wav,Kick,D#m,0.2059,0.4674
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_019_NOKICK_110.wav,Kick,D#m,0.2918,0.4986
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_022_NOKICK_110.wav,Kick,B,0.3394,0.6407
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_017_NOKICK_110.wav,Kick,E,0.3962,0.6985
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_020_STRIPPED_110.wav,Kick,F#m,0.3294,0.2949
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_010_STRIPPED_110.wav,Kick,G#m,0.321,0.2515
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_002_STRIPPED_110.wav,Kick,G#m,0.47,0.1317
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_004_FULL_110.wav,Kick,Dm,0.5744,0.4506
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_014_STRIPPED_110.wav,Kick,Am,0.3923,0.2237
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_013_TOP_110.wav,Kick,C,0.3527,0.6163
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_011_TOP_110.wav,Kick,D#m,0.1467,0.2783
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_007_FULL_110.wav,Kick,G#m,0.4329,0.4698
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_013_NOKICK_110.wav,Kick,A#m,0.3572,0.6066
/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_012_TOP_110.wav,Kick,B,0.2521,0.6618
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 4.wav,Snare,D,0.3288,0.3377
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 11.wav,Snare,C#m,0.1237,0.8017
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 3.wav,Snare,Gm,0.173,0.3091
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 10.wav,Snare,Am,0.1617,0.4933
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 12.wav,Snare,F,0.1292,0.3166
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 9.wav,Snare,D#,0.2465,0.4857
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 2.wav,Snare,F#m,0.1974,0.2037
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 1.wav,Snare,Em,0.1459,0.7293
/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 5.wav,Snare,A#m,0.1313,0.2836
